Physics Time (ms),Main Thread Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward
9.1,155.576065063477,1521.076,30048.0,0
9.1,155.576095581055,1521.076,30046.7,0
9.1,155.576110839844,1521.076,30046.9,0
9.1,155.576126098633,1521.076,30047.0,0
9.1,155.576141357422,1521.076,30047.1,0
9.1,155.576171875,1521.076,30047.2,0
9.1,155.576187133789,1521.076,30047.3,0.8964
9.1,155.576202392578,1521.076,30047.4,0
9.1,155.576232910156,1521.076,30047.5,0.7944
9.4,162.523849487305,1547.73,60077.7,0
9.4,162.523880004883,1547.73,60073.7,0
9.4,162.523895263672,1547.73,60073.8,0
9.4,162.523910522461,1547.73,60073.9,0
9.4,162.52392578125,1547.73,60074.0,0
9.4,162.523941040039,1547.73,60074.1,0.8562
9.4,162.523971557617,1547.73,60074.2,0.3948
9.4,162.523986816406,1547.73,60074.4,0
9.4,162.524017333984,1547.73,60074.5,0
10.2,167.251983642578,1547.661,90226.6,0.4696
10.2,167.251998901367,1547.661,90222.2,0
10.2,167.252014160156,1547.661,90222.4,0.5528
10.2,167.252029418945,1547.661,90222.5,0.7719
10.2,167.252059936523,1547.661,90222.7,0
10.2,167.252075195313,1547.661,90222.8,0.3692
10.2,167.252090454102,1547.661,90223.1,0.1676
10.2,167.252105712891,1547.661,90223.8,0
10.2,167.252151489258,1547.661,90224.2,0
12.3,181.526748657227,1547.893,123245.0,0
12.3,181.526763916016,1547.893,123242.5,0
12.3,181.526779174805,1547.893,123242.7,0.809
12.3,181.526794433594,1547.893,123243.0,0
12.3,181.526824951172,1547.893,123243.2,0.5317
12.3,181.526840209961,1547.893,123243.4,0
12.3,181.52685546875,1547.893,123243.5,0
12.3,181.526870727539,1547.893,123243.6,0
12.3,181.526901245117,1547.893,123243.8,0
9.7,267.443115234375,1547.903,153346.0,0.6428
9.7,267.443115234375,1547.903,153342.6,0
9.7,267.443145751953,1547.903,153342.8,0.2704
9.7,267.443176269531,1547.903,153342.9,0.412
9.7,267.443176269531,1547.903,153343.0,0
9.7,267.443206787109,1547.903,153343.1,0
9.7,267.443206787109,1547.903,153343.2,0
9.7,267.443237304688,1547.903,153343.3,0.693
9.7,267.443267822266,1547.903,153343.4,0
10.1,168.396926879883,1547.737,183450.1,0.9778
10.1,168.396942138672,1547.737,183445.4,0
10.1,168.396957397461,1547.737,183445.6,0
10.1,168.39697265625,1547.737,183445.7,0
10.1,168.396987915039,1547.737,183445.8,0
10.1,168.397018432617,1547.737,183445.9,0
10.1,168.397033691406,1547.737,183446.0,0
10.1,168.397048950195,1547.737,183446.1,0
10.1,168.397079467773,1547.737,183446.2,0
10.4,173.558135986328,1547.75,230006.1,0
10.4,173.558151245117,1547.75,230002.2,0.6593
10.4,173.558166503906,1547.75,230002.3,0
10.4,173.558181762695,1547.75,230002.5,0
10.4,173.558197021484,1547.75,230004.7,0
10.4,173.558212280273,1547.75,230005.8,0
10.4,173.558242797852,1547.75,230006.2,0
10.4,173.558258056641,1547.75,230006.8,0
10.4,173.558288574219,1547.75,230008.2,0
9.8,264.530151367188,1547.751,260126.8,0.3575
9.8,264.530181884766,1547.751,260122.0,0
9.8,264.530181884766,1547.751,260122.5,0.8255333
9.8,264.530212402344,1547.751,260122.6,0
9.8,264.530212402344,1547.751,260122.7,0
9.8,264.530242919922,1547.751,260122.8,0.9766
9.8,264.530242919922,1547.751,260122.9,0
9.8,264.5302734375,1547.751,260123.0,0
9.8,264.530303955078,1547.751,260123.1,0
9.2,156.082458496094,1547.896,290235.8,0
9.2,156.082473754883,1547.896,290231.3,0.8678
9.2,156.082489013672,1547.896,290231.3,0
9.2,156.082504272461,1547.896,290231.4,0
9.2,156.08251953125,1547.896,290231.6,0
9.2,156.082550048828,1547.896,290231.7,0
9.2,156.082565307617,1547.896,290231.8,0.4902
9.2,156.082580566406,1547.896,290232.2,0
9.2,156.082611083984,1547.896,290232.3,0
9.2,162.19189453125,1547.864,329703.6,0
9.2,162.191909790039,1547.864,329700.0,0
9.2,162.191925048828,1547.864,329700.2,0.5769
9.2,162.191940307617,1547.864,329700.3,0
9.2,162.191970825195,1547.864,329700.5,0
9.2,162.191986083984,1547.864,329700.6,0
9.2,162.192001342773,1547.864,329700.7,0
9.2,162.192016601563,1547.864,329700.8,0
9.2,162.192047119141,1547.864,329700.9,0
9.6,256.74951171875,1547.697,359778.2,0
9.6,256.749542236328,1547.697,359773.0,0
9.6,256.749542236328,1547.697,359773.1,0
9.6,256.749572753906,1547.697,359773.2,0.344
9.6,256.749572753906,1547.697,359773.3,0.4608
9.6,256.749603271484,1547.697,359773.4,0
9.6,256.749603271484,1547.697,359773.8,0.5926
9.6,256.749633789063,1547.697,359774.1,0.2118
9.6,256.749664306641,1547.697,359774.2,0
9.7,162.1806640625,1547.87,389850.7,0.4918
9.7,162.180694580078,1547.87,389847.0,0
9.7,162.180709838867,1547.87,389847.2,0
9.7,162.180725097656,1547.87,389847.3,0.7296
9.7,162.180740356445,1547.87,389847.4,0.7908
9.7,162.180755615234,1547.87,389847.5,0
9.7,162.180786132813,1547.87,389847.6,0
9.7,162.180801391602,1547.87,389847.8,0.5494
9.7,162.18083190918,1547.87,389847.9,0
9.3,159.124603271484,1548.074,427133.8,0
9.3,159.124618530273,1548.074,427130.9,0
9.3,159.124649047852,1548.074,427131.0,0.2078
9.3,159.124664306641,1548.074,427131.2,0
9.3,159.12467956543,1548.074,427131.3,0
9.3,159.124694824219,1548.074,427131.4,0.9458
9.3,159.124710083008,1548.074,427131.5,0
9.3,159.124725341797,1548.074,427131.6,0
9.3,159.124771118164,1548.074,427131.7,0
9.3,261.777862548828,1547.821,457205.8,0
9.3,261.777862548828,1547.821,457201.3,0
9.3,261.777893066406,1547.821,457201.5,0
9.3,261.777923583984,1547.821,457201.6,0
9.3,261.777923583984,1547.821,457201.7,0
9.3,261.777954101563,1547.821,457201.8,0.9007334
9.3,261.777954101563,1547.821,457201.9,0
9.3,261.777984619141,1547.821,457202.0,0
9.3,261.778015136719,1547.821,457202.1,0
9.2,158.718490600586,1547.709,487231.9,0
9.2,158.718505859375,1547.709,487227.7,0
9.2,158.718521118164,1547.709,487227.8,0
9.2,158.718536376953,1547.709,487227.8,0.422
9.2,158.718551635742,1547.709,487228.2,0.9894
9.2,158.71858215332,1547.709,487228.3,0
9.2,158.718597412109,1547.709,487228.4,0.6918
9.2,158.718612670898,1547.709,487228.8,0.3706
9.2,158.718643188477,1547.709,487228.9,0
9.7,161.229965209961,1531.647,534593.5,0.1332
9.7,161.229995727539,1531.647,534589.3,0
9.7,161.230010986328,1531.647,534589.5,0
9.7,161.230026245117,1531.647,534589.6,0
9.7,161.230041503906,1531.647,534589.7,0
9.7,161.230056762695,1531.647,534589.8,0
9.7,161.230087280273,1531.647,534589.9,0
9.7,161.230102539063,1531.647,534590.1,0
9.7,161.230133056641,1531.647,534590.1,0
9.9,272.334686279297,1530.739,564745.1,0
9.9,272.334716796875,1530.739,564740.3,0
10.0,272.334716796875,1530.739,564740.4,0.3194
10.0,272.334747314453,1530.739,564740.6,0
10.0,272.334777832031,1530.739,564740.7,0.655
10.0,272.334777832031,1530.739,564740.8,0
10.0,272.334808349609,1530.739,564740.9,0
10.0,272.334808349609,1530.739,564741.0,0
10.0,272.334869384766,1530.739,564741.1,0
10.1,166.554931640625,1530.381,594968.7,0.5153
10.1,166.554946899414,1530.381,594964.9,0
10.1,166.554962158203,1530.381,594965.0,0
10.1,166.554977416992,1530.381,594965.1,0
10.1,166.554992675781,1530.381,594965.3,0.9828
10.1,166.555023193359,1530.381,594965.4,0.1314
10.1,166.555038452148,1530.381,594965.5,0.9588
10.1,166.555068969727,1530.381,594965.7,0.8752
10.1,166.555099487305,1530.381,594965.9,0
10.2,359.455841064453,1530.881,625107.8,0.6654
10.2,359.455841064453,1530.881,625103.1,0
10.2,359.455871582031,1530.881,625103.2,0
10.2,359.455871582031,1530.881,625103.3,0.6046
10.2,359.455902099609,1530.881,625103.4,0
10.2,359.455902099609,1530.881,625103.6,0
10.2,359.455932617188,1530.881,625103.7,0
10.2,359.455963134766,1530.881,625103.8,0
