Physics Time (ms),Main Thread Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward
9.7,158.117706298828,1581.812,30072.6,0
9.7,158.117721557617,1581.812,30077.4,0
9.7,158.117736816406,1581.812,30077.7,0
9.7,158.117752075195,1581.812,30078.2,0.8844
9.7,158.117767333984,1581.812,30078.4,0
9.7,158.117797851563,1581.812,30078.6,0
9.7,158.117813110352,1581.812,30079.2,0
9.7,158.117828369141,1581.812,30079.5,0
9.7,158.117858886719,1581.812,30079.7,0
9.6,162.308349609375,1594.173,60148.5,0.31
9.6,162.308364868164,1594.173,60143.7,0
9.6,162.308380126953,1594.173,60143.8,0
9.6,162.308410644531,1594.173,60143.9,0
9.6,162.30842590332,1594.173,60144.0,0
9.6,162.308441162109,1594.173,60144.1,0.6574
9.6,162.308456420898,1594.173,60144.3,0
9.6,162.308471679688,1594.173,60144.4,0
9.6,162.308517456055,1594.173,60144.5,0
9.7,162.003662109375,1594.167,90278.2,0
9.7,162.003677368164,1594.167,90273.5,0
9.7,162.003692626953,1594.167,90273.7,0
9.7,162.003723144531,1594.167,90273.8,0.6088
9.7,162.00373840332,1594.167,90273.9,0.5974
9.7,162.003753662109,1594.167,90274.0,0
9.7,162.003768920898,1594.167,90274.1,0.3348
9.7,162.003784179688,1594.167,90274.2,0.0876
9.7,162.003814697266,1594.167,90274.3,0.779
9.4,164.159378051758,1594.131,120324.8,0.7885
9.4,164.159393310547,1594.131,120321.2,0.9024
9.4,164.159408569336,1594.131,120321.3,0
9.4,164.159423828125,1594.131,120321.4,0
9.4,164.159439086914,1594.131,120321.5,0
9.4,164.159469604492,1594.131,120321.6,0
9.4,164.159484863281,1594.131,120321.7,0
9.4,164.15950012207,1594.131,120321.8,0
9.4,164.159530639648,1594.131,120321.9,0
9.9,158.993240356445,1594.143,150382.1,0.6298
9.9,158.993255615234,1594.143,150377.5,0.5128
9.9,158.993270874023,1594.143,150377.6,0.82
9.9,158.993301391602,1594.143,150377.8,0
9.9,158.993316650391,1594.143,150377.9,0
9.9,158.99333190918,1594.143,150378.0,0
9.9,158.993347167969,1594.143,150378.1,0
9.9,158.993362426758,1594.143,150378.2,0
9.9,158.993392944336,1594.143,150378.3,0
10.6,167.484451293945,1594.189,180510.3,0
10.6,167.484466552734,1594.189,180505.6,0.6996
10.6,167.484481811523,1594.189,180505.8,0
10.6,167.484512329102,1594.189,180505.9,0
10.6,167.484527587891,1594.189,180506.0,0
10.6,167.48454284668,1594.189,180506.1,0
10.6,167.484558105469,1594.189,180506.2,0
10.6,167.484573364258,1594.189,180506.3,0
10.6,167.484603881836,1594.189,180506.4,0
10.1,170.226455688477,1594.147,210672.7,0
10.1,170.226470947266,1594.147,210668.4,0
10.1,170.226501464844,1594.147,210668.6,0.804
10.1,170.226516723633,1594.147,210668.7,0.4584
10.1,170.226531982422,1594.147,210668.8,0.589
10.1,170.226547241211,1594.147,210668.9,0.7996
10.1,170.2265625,1594.147,210669.1,0
10.1,170.226593017578,1594.147,210669.2,0
10.1,170.226623535156,1594.147,210669.3,0
9.9,162.822326660156,1594.13,240729.5,0
9.9,162.822341918945,1594.13,240724.8,0
9.9,162.822357177734,1594.13,240724.9,0
9.9,162.822372436523,1594.13,240725.1,0
9.9,162.822387695313,1594.13,240725.1,0.1306
9.9,162.822418212891,1594.13,240725.4,0
9.9,162.82243347168,1594.13,240725.7,0
9.9,162.822448730469,1594.13,240725.9,0
9.9,162.822479248047,1594.13,240726.0,0.8341
10.1,164.07975769043,1594.109,270762.5,0
10.1,164.079772949219,1594.109,270758.8,0
10.1,164.079803466797,1594.109,270759.0,0
10.2,164.079818725586,1594.109,270759.1,0
10.2,164.079833984375,1594.109,270759.2,0
10.2,164.079849243164,1594.109,270759.3,0
10.2,164.079864501953,1594.109,270759.5,0
10.2,164.079895019531,1594.109,270759.6,0
10.2,164.079925537109,1594.109,270759.7,0.7594
9.9,165.925384521484,1594.11,300834.4,0.5168
9.9,165.925399780273,1594.11,300830.4,0.2824
9.9,165.925415039063,1594.11,300830.6,0
9.9,165.925430297852,1594.11,300830.7,0
9.9,165.925445556641,1594.11,300830.8,0
9.9,165.92546081543,1594.11,300830.9,0
9.9,165.925491333008,1594.11,300831.0,0
9.9,165.925506591797,1594.11,300831.1,0.7672
9.9,165.925537109375,1594.11,300831.2,0
9.9,159.935089111328,1591.447,330869.8,0.9396
9.9,159.935104370117,1591.447,330865.3,0
9.9,159.935134887695,1591.447,330865.4,0
9.9,159.935150146484,1591.447,330865.5,0
9.9,159.935165405273,1591.447,330865.7,0
9.9,159.935180664063,1591.447,330865.8,0
9.9,159.935195922852,1591.447,330866.0,0
9.9,159.935211181641,1591.447,330866.1,0
9.9,159.935256958008,1591.447,330866.2,0
10.2,164.48762512207,1589.109,360960.0,0.9385999
10.2,164.487655639648,1589.109,360955.8,0.7497333
10.2,164.487670898438,1589.109,360956.3,0
10.2,164.487686157227,1589.109,360956.5,0
10.2,164.487701416016,1589.109,360956.6,0
10.2,164.487716674805,1589.109,360956.7,0.5954
10.2,164.487747192383,1589.109,360956.8,0
10.2,164.487762451172,1589.109,360956.9,0
10.2,164.48779296875,1589.109,360957.0,0
10.8,165.778823852539,1589.11,391026.2,0
10.8,165.778839111328,1589.11,391021.9,0
10.8,165.778854370117,1589.11,391022.1,0.7826
10.8,165.778869628906,1589.11,391022.3,0
10.8,165.778900146484,1589.11,391022.4,0.8144
10.8,165.778915405273,1589.11,391022.5,0.7906
10.8,165.778930664063,1589.11,391022.6,0
10.8,165.778945922852,1589.11,391022.8,0
10.8,165.778991699219,1589.11,391022.9,0
9.9,166.020370483398,1589.099,421182.2,0.5712
9.9,166.020401000977,1589.099,421177.7,0
9.9,166.020416259766,1589.099,421178.0,0
9.9,166.020431518555,1589.099,421178.2,0
9.9,166.020446777344,1589.099,421178.9,0
9.9,166.020462036133,1589.099,421179.3,0
9.9,166.020477294922,1589.099,421179.6,0.969
9.9,166.0205078125,1589.099,421180.0,0
9.9,166.020538330078,1589.099,421180.2,0
10.2,162.906585693359,1589.097,451197.5,0
10.2,162.906616210938,1589.097,451194.0,0
10.2,162.906631469727,1589.097,451194.1,0.5128
10.2,162.906646728516,1589.097,451194.2,0
10.2,162.906661987305,1589.097,451194.3,0.8712
10.2,162.906677246094,1589.097,451194.4,0
10.2,162.906707763672,1589.097,451194.6,0.5886
10.2,162.906723022461,1589.097,451194.7,0
