Physics Time (ms),Main Thread Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward
11.4,400.109313964844,2081.143,10492.3,0
11.4,400.109344482422,2081.143,10481.7,0
11.4,400.109375,2081.143,10481.5,0
11.4,400.109405517578,2081.143,10481.5,0
11.4,400.109436035156,2081.143,10481.5,0
11.4,400.109436035156,2081.143,10481.5,0
11.4,400.109466552734,2081.143,10481.5,0
11.4,400.109497070313,2081.143,10481.5,0
11.4,400.109527587891,2081.143,10481.4,0
11.4,400.109527587891,2081.143,10481.3,0
11.4,400.109558105469,2081.143,10481.3,0
11.4,400.109588623047,2081.143,10481.2,0
11.4,400.109619140625,2081.143,10481.2,0
11.4,400.109619140625,2081.143,10481.1,0
11.4,400.109649658203,2081.143,10481.0,0
11.4,400.109680175781,2081.143,10481.0,0
11.4,400.109710693359,2081.143,10480.9,0
11.4,400.109741210938,2081.143,10480.8,0
11.4,400.109741210938,2081.143,10480.7,0
11.4,400.109771728516,2081.143,10480.7,0
11.4,400.109802246094,2081.143,10480.6,0
11.4,400.109832763672,2081.143,10480.6,0
11.4,400.10986328125,2081.143,10480.5,0
11.4,400.10986328125,2081.143,10480.4,0
11.4,400.109893798828,2081.143,10480.3,0
11.4,400.109924316406,2081.143,10480.2,0
11.4,400.109924316406,2081.143,10480.2,0
11.4,400.109954833984,2081.143,10480.1,0
11.4,400.109985351563,2081.143,10480.0,0
11.4,400.110015869141,2081.143,10479.9,0
11.4,400.110046386719,2081.143,10479.9,0
11.4,400.110046386719,2081.143,10479.8,0
11.4,400.110076904297,2081.143,10479.7,0
11.4,400.110107421875,2081.143,10479.6,0
11.3,475.018249511719,2184,20774.2,0
11.3,475.018280029297,2184,20755.2,0
11.3,475.018310546875,2184,20754.4,0
11.3,475.018341064453,2184,20754.4,0
11.3,475.018371582031,2184,20754.3,0
11.3,475.018402099609,2184,20754.2,0
11.3,475.018402099609,2184,20754.2,0
11.3,475.018432617188,2184,20754.1,0
11.3,475.018463134766,2184,20754.0,0
11.3,475.018493652344,2184,20754.0,0
11.3,475.018524169922,2184,20753.9,0
11.3,475.0185546875,2184,20753.8,0
11.3,475.0185546875,2184,20753.8,0
11.3,475.018585205078,2184,20753.7,0
11.3,475.018615722656,2184,20753.7,0
11.3,475.018646240234,2184,20753.6,0
11.3,475.018646240234,2184,20753.5,0
11.3,475.018676757813,2184,20753.4,0
11.3,475.018707275391,2184,20753.4,0
