Physics Time (ms),Main Thread Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward
11.4,413.834838867188,2042.714,10401.9,0
11.4,413.834869384766,2042.714,10389.7,0
11.4,413.834899902344,2042.714,10389.4,0
11.4,413.834930419922,2042.714,10389.3,0
11.4,413.834930419922,2042.714,10389.3,0
11.4,413.8349609375,2042.714,10389.2,0
11.4,413.834991455078,2042.714,10389.1,0
11.4,413.834991455078,2042.714,10389.1,0
11.4,413.835021972656,2042.714,10389.0,0
11.4,413.835052490234,2042.714,10388.9,0
11.4,413.835083007813,2042.714,10388.9,0
11.4,413.835083007813,2042.714,10388.8,0
11.4,413.835113525391,2042.714,10388.7,0
11.4,413.835144042969,2042.714,10388.6,0
11.4,413.835174560547,2042.714,10388.6,0
11.4,413.835205078125,2042.714,10388.5,0
11.4,413.835205078125,2042.714,10388.4,0
11.4,413.835235595703,2042.714,10388.4,0
11.4,413.835266113281,2042.714,10388.3,0
11.4,413.835266113281,2042.714,10388.2,0
11.4,413.835296630859,2042.714,10388.2,0
11.4,413.835327148438,2042.714,10388.1,0
11.4,413.835357666016,2042.714,10388.0,0
11.4,413.835357666016,2042.714,10388.0,0
11.4,413.835388183594,2042.714,10387.9,0
11.4,413.835418701172,2042.714,10387.8,0
11.4,413.835418701172,2042.714,10387.6,0
11.4,413.83544921875,2042.714,10387.6,0
11.4,413.835479736328,2042.714,10387.5,0
11.4,413.835510253906,2042.714,10387.4,0
11.4,413.835510253906,2042.714,10387.4,0
11.4,413.835540771484,2042.714,10387.3,0
11.4,413.835571289063,2042.714,10387.2,0
11.4,413.835601806641,2042.714,10387.2,0
18.0,497.050415039063,2141.857,20879.7,0
18.0,497.050445556641,2141.857,20860.1,0
18.0,497.050445556641,2141.857,20859.3,0
18.0,497.050476074219,2141.857,20859.3,0
18.0,497.050506591797,2141.857,20859.3,0
18.0,497.050537109375,2141.857,20859.3,0
18.0,497.050567626953,2141.857,20859.3,0
18.0,497.050598144531,2141.857,20859.3,0
18.0,497.050598144531,2141.857,20859.2,0
18.0,497.050628662109,2141.857,20859.2,0
18.0,497.050659179688,2141.857,20859.2,0
18.0,497.050659179688,2141.857,20859.2,0
18.0,497.050689697266,2141.857,20859.2,0
18.0,497.050720214844,2141.857,20859.2,0
18.0,497.050750732422,2141.857,20859.2,0
18.0,497.05078125,2141.857,20859.2,0
18.0,497.05078125,2141.857,20859.1,0
18.0,497.050811767578,2141.857,20859.1,0
18.0,497.050842285156,2141.857,20859.1,0
18.0,497.050872802734,2141.857,20859.1,0
18.0,497.050872802734,2141.857,20859.1,0
18.0,497.050903320313,2141.857,20859.1,0
18.0,497.050933837891,2141.857,20859.1,0
18.0,497.050964355469,2141.857,20859.1,0
18.0,497.050994873047,2141.857,20859.1,0
18.0,497.051025390625,2141.857,20859.0,0
18.0,497.051025390625,2141.857,20858.9,0
18.0,497.051055908203,2141.857,20858.9,0
18.0,497.051086425781,2141.857,20858.8,0
18.0,497.051116943359,2141.857,20858.8,0
18.0,497.051116943359,2141.857,20858.8,0
18.0,497.051147460938,2141.857,20858.8,0
18.0,497.051177978516,2141.857,20858.8,0
18.0,497.051208496094,2141.857,20858.8,0
12.1,452.214721679688,2141.957,31093.3,0
12.1,452.214721679688,2141.957,31073.7,0
12.1,452.214752197266,2141.957,31073.0,0
12.1,452.214782714844,2141.957,31072.9,0
12.1,452.214813232422,2141.957,31072.9,0
12.1,452.21484375,2141.957,31072.8,0
12.1,452.214874267578,2141.957,31072.7,0
12.1,452.214904785156,2141.957,31072.7,0
12.1,452.214904785156,2141.957,31072.6,0
12.1,452.214935302734,2141.957,31072.5,0
12.1,452.214965820313,2141.957,31072.5,0
12.1,452.214996337891,2141.957,31072.4,0
12.1,452.215026855469,2141.957,31072.3,0
12.1,452.215057373047,2141.957,31072.3,0
12.1,452.215087890625,2141.957,31072.2,0
12.1,452.215118408203,2141.957,31072.2,0
12.1,452.215118408203,2141.957,31072.1,0
12.1,452.215148925781,2141.957,31072.0,0
12.1,452.215179443359,2141.957,31072.0,0
12.1,452.215209960938,2141.957,31071.9,0
12.1,452.215240478516,2141.957,31071.8,0
12.1,452.215240478516,2141.957,31071.8,0
12.1,452.215270996094,2141.957,31071.7,0
12.1,452.215301513672,2141.957,31071.6,0
12.1,452.21533203125,2141.957,31071.6,0
12.1,452.215362548828,2141.957,31071.5,0
12.1,452.215393066406,2141.957,31071.3,0
12.1,452.215393066406,2141.957,31071.2,0
12.1,452.215423583984,2141.957,31071.2,0
12.1,452.215454101563,2141.957,31071.1,0
12.1,452.215484619141,2141.957,31071.1,0
12.1,452.215515136719,2141.957,31071.0,0
12.1,452.215545654297,2141.957,31071.0,0
12.1,452.215576171875,2141.957,31070.9,0
11.8,459.004852294922,2141.773,41308.1,0
11.8,459.0048828125,2141.773,41288.5,0
11.8,459.004913330078,2141.773,41287.9,0
11.8,459.004943847656,2141.773,41287.9,0
11.8,459.004974365234,2141.773,41287.9,0
11.8,459.005004882813,2141.773,41287.9,0
11.9,459.005035400391,2141.773,41287.9,0
11.9,459.005065917969,2141.773,41287.9,0
11.9,459.005065917969,2141.773,41287.9,0
11.9,459.005096435547,2141.773,41287.9,0
11.9,459.005126953125,2141.773,41287.9,0
11.9,459.005157470703,2141.773,41287.9,0
11.9,459.005187988281,2141.773,41287.9,0
11.9,459.005218505859,2141.773,41287.9,0
11.9,459.005249023438,2141.773,41287.9,0
11.9,459.005279541016,2141.773,41287.9,0
11.9,459.005279541016,2141.773,41287.9,0
11.9,459.005310058594,2141.773,41287.9,0
11.9,459.005340576172,2141.773,41287.9,0
11.9,459.00537109375,2141.773,41287.9,0
11.9,459.005401611328,2141.773,41287.9,0
11.9,459.005432128906,2141.773,41287.9,0
11.9,459.005462646484,2141.773,41287.9,0
11.9,459.005493164063,2141.773,41287.9,0
11.9,459.005523681641,2141.773,41287.9,0
11.9,459.005523681641,2141.773,41287.9,0
11.9,459.005554199219,2141.773,41288.0,0
11.9,459.005584716797,2141.773,41288.2,0
11.9,459.005615234375,2141.773,41288.2,0
11.9,459.005645751953,2141.773,41288.2,0
11.9,459.005676269531,2141.773,41288.2,0
11.9,459.005706787109,2141.773,41288.2,0
11.9,459.005706787109,2141.773,41288.2,0
11.9,459.005767822266,2141.773,41288.2,0
12.7,460.742462158203,2142,51325.4,0
12.8,460.742492675781,2142,51305.7,0
12.8,460.742523193359,2142,51304.9,0
12.8,460.742553710938,2142,51304.8,0
12.8,460.742584228516,2142,51304.7,0
12.8,460.742614746094,2142,51304.6,0
12.8,460.742614746094,2142,51304.6,0
12.8,460.742645263672,2142,51304.5,0
12.8,460.74267578125,2142,51304.4,0
12.8,460.742706298828,2142,51304.4,0
12.8,460.742736816406,2142,51304.3,0
12.8,460.742767333984,2142,51304.3,0
12.8,460.742767333984,2142,51304.2,0
12.8,460.742797851563,2142,51304.1,0
12.8,460.742828369141,2142,51304.1,0
12.8,460.742858886719,2142,51304.0,0
12.8,460.742889404297,2142,51303.9,0
12.8,460.742919921875,2142,51303.9,0
12.8,460.742919921875,2142,51303.8,0
12.8,460.742950439453,2142,51303.7,0
12.8,460.742980957031,2142,51303.7,0
12.8,460.743011474609,2142,51303.6,0
12.8,460.743041992188,2142,51303.5,0
12.8,460.743072509766,2142,51303.5,0
12.8,460.743103027344,2142,51303.4,0
12.8,460.743103027344,2142,51303.3,0
12.8,460.743133544922,2142,51303.1,0
12.8,460.7431640625,2142,51303.1,0
12.8,460.743194580078,2142,51303.0,0
