Physics Time (ms),Main Thread Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward
7.8,149.241348266602,1931.947,10160.6,0
7.8,149.241363525391,1931.947,10144.6,0
7.8,149.24137878418,1931.947,10144.5,0
7.8,149.241394042969,1931.947,10144.5,0
7.8,149.241409301758,1931.947,10144.6,0
7.8,149.241424560547,1931.947,10144.8,0
7.8,149.241439819336,1931.947,10144.7,0
7.8,149.241470336914,1931.947,10144.8,0
7.8,149.241500854492,1931.947,10144.9,0
7.9,151.558883666992,1965.642,20244.0,0
7.9,151.55891418457,1965.642,20225.4,0
7.9,151.558929443359,1965.642,20225.5,0
7.9,151.558944702148,1965.642,20225.6,0
7.9,151.558959960938,1965.642,20225.6,0
7.9,151.558990478516,1965.642,20225.6,0
7.9,151.559005737305,1965.642,20225.4,0
7.9,151.559020996094,1965.642,20225.4,0.4309284
7.9,151.559051513672,1965.642,20225.4,0
8.4,152.877731323242,1966.106,30343.5,0
8.4,152.877746582031,1966.106,30324.9,0
8.4,152.87776184082,1966.106,30325.0,0
8.4,152.877777099609,1966.106,30325.1,0.2223
8.4,152.877792358398,1966.106,30325.2,0
8.4,152.877822875977,1966.106,30325.2,0
8.4,152.877838134766,1966.106,30325.1,0
8.4,152.877853393555,1966.106,30325.0,0.7042
8.4,152.877883911133,1966.106,30325.1,0
9.0,155.60139465332,1965.385,40503.0,0.01094769
9.0,155.601409912109,1965.385,40484.2,0
9.0,155.601440429688,1965.385,40484.5,0
9.0,155.601455688477,1965.385,40484.7,0.4446
9.0,155.601470947266,1965.385,40484.7,0
9.0,155.601486206055,1965.385,40484.7,0.008876923
9.0,155.601501464844,1965.385,40484.6,0
9.0,155.601531982422,1965.385,40484.5,0.7042
9.0,155.6015625,1965.385,40484.6,0
9.3,166.609298706055,1967.467,50524.7,0.1186
9.3,166.609313964844,1967.467,50506.2,0.01653333
9.3,166.609329223633,1967.467,50506.1,0
9.4,166.609344482422,1967.467,50506.1,0.4446
9.4,166.609359741211,1967.467,50506.2,0.3224833
9.4,166.609390258789,1967.467,50506.2,0.1154
9.4,166.609405517578,1967.467,50506.0,0
9.4,166.609420776367,1967.467,50506.3,0.98356
9.4,166.609451293945,1967.467,50506.4,0
